,l2_norm
0,0.999484632074951
1,0.9965646229041044
2,1.0025900178886682
3,1.000173530446592
4,1.0011235884455025
5,1.0028732256317348
6,1.0103617630477708
7,1.010152334692149
8,1.0041435578651092
9,1.0056600596250207
10,1.0006474665510328
11,1.001792152325521
12,1.0010942586455085
13,1.0025327532295392
14,1.0012536455034757
15,1.0004381734690053
16,0.9975047879950251
17,0.9973784093316839
18,0.9947260027937341
19,0.9972479264866887
20,0.9942251987376903
21,0.9961201963222109
22,0.9990976013072997
23,0.9953556548359987
24,0.9964870217067557
25,0.9967687159547093
26,0.9939502712771902
27,0.9954163557999236
28,0.9945943254347474
29,1.002296249416808
30,0.9953584693214802
31,0.9975120176925188
32,1.0062592081317816
33,0.9991275663037228
34,1.0002320328098875
35,1.0014049972084222
36,1.0003800672239527
37,0.9978869888529462
38,1.001638614443353
39,1.0012620044668628
40,1.0007154102580813
41,1.000760123860858
42,0.9973954668445211
43,0.9946840696150714
44,0.99724946905125
45,0.9966524892032328
46,0.9970172417751861
47,1.0024247814798875
48,1.0084603111917692
49,1.0077398252495533
50,1.002729393037324
51,1.0020601358671046
52,1.0082642672816489
53,0.9940741286408172
54,0.9949614088968477
55,0.9978748552208337
56,0.999160735403969
57,1.0010733089549437
58,0.9974465997906855
59,0.9989905349531596
60,0.9964992210503729
61,0.9979991301098413
62,1.001365415506747
63,1.0008658914215232
64,1.0023077793332744
65,0.9998304098205855
66,0.9956865918812003
67,0.9992289643089816
68,0.9964870217067557
69,0.9968381851178255
70,0.9968058174604522
71,1.0003328790122816
72,1.0014083737441983
73,0.9971663659219558
74,0.9995311851548205
75,1.0013562810019219
76,0.9994037937585588
77,1.0006248833029288
78,1.0074722542214252
79,0.9986262663739623
80,0.9953426625047275
81,0.9967579309350892
82,1.0020433413914789
83,1.0079957953974807
84,1.0076235875811959
85,1.0003480373729934
86,1.000025808255967
87,0.9977939108859104
88,0.9995218234440907
89,0.99845418068332
90,1.0001377666161797
91,0.9961608384246994
92,0.9994760898565808
93,0.9983821683799246
94,1.0035172138842463
95,1.0071278219694855
96,1.006602826776778
97,1.0070679990849676
98,1.0033228007007515
99,1.00229418208079
100,0.9988153865224544
101,1.00133474195246
102,1.0081536249768683
103,1.0079858239409918
104,1.0094844112387273
105,1.0171618126119364
106,1.024403715505757
107,1.0224452314921324
108,1.0229915110214747
109,1.015564853300369
110,1.0097282893813562
111,1.0091513728653396
112,1.0450382267051286
113,1.0091545075264738
114,0.9873905210447385
115,0.9634327766611431
116,0.9424915842642841
117,0.9590773593850497
118,0.9954354240059975
119,1.012403257811333
120,0.9946769034339743
121,0.9955163878369858
122,0.989859662752756
123,0.9858266979043527
124,0.992608185054405
125,0.9991803041718746
126,1.0078946628065852
127,1.0088124824891889
128,1.0116639046387887
129,1.0001702478263388
130,1.0010893251223887
131,1.0182035842742845
132,1.0166350320193576
133,1.007682008443636
134,1.0051912491008863
135,1.004621901092645
136,0.993370726838173
137,0.9877684881762528
138,0.9865099662578174
139,0.9857537276632536
140,0.983557334612477
141,0.9882513338918396
142,0.9891317283805025
143,0.9906039775520791
144,0.9931168350375498
145,1.0028319670981773
146,1.0108854859147005
147,1.0130804327608938
148,1.013675253361746
149,1.010008659023278
150,1.0082642672816489
151,1.0068427210309463
152,1.0071311622529608
153,1.0056148784828116
154,0.9995900250682778
155,0.9902396322653422
156,0.9846425334896923
157,0.9743623164362423
158,0.9802537397403797
159,0.9870744814865797
160,0.9921555812043795
161,0.9962849775044287
162,0.9908503774263802
163,0.9842364786462652
164,0.9851439591009021
165,0.9865885456627803
166,0.9931610127129438
167,0.9892136083778872
168,1.0002123330578363
169,0.9991165811395585
170,0.9973246762699697
171,1.001336551629371
172,1.000448277262248
173,0.9890892422916144
174,0.9920296732270663
175,0.9956006881260178
176,1.0304970099223967
177,1.0424296012613994
178,0.9962485248516055
179,0.9940786857834746
180,0.989410998650207
181,1.0041878838399716
182,1.0179902365352038
183,1.0168904510560615
184,1.0098580298249848
185,1.0002835825039817
186,0.9992742084988484
187,0.983900733715043
188,0.9875223195862461
189,0.9782991665134955
190,0.9870970788230508
191,0.9862592753176013
192,0.9774172114179287
193,0.9905660232589244
194,1.0096893826345803
195,1.0275666364625702
196,1.1304363299036349
197,0.982974617625501
198,0.9576836064264649
199,0.9494935891105322
200,0.9857746414556422
201,0.9793660110632797
202,1.008613188037416
203,1.0013754771932455
204,1.0270917562063284
205,1.023892056563093
206,1.008107402778593
207,1.0046392577622079
208,1.012512009456678
209,1.0064836834752962
210,1.0120044001732404
211,1.0104728429606606
212,0.9960250594146716
213,0.9960441808966106
214,0.9948424810109388
215,0.9918594227374159
216,0.9965759201857126
217,0.9988310254222182
218,1.0013830113443107
219,1.0013903259054384
220,0.9976243590054324
221,1.0007057001806274
222,1.005437132024176
223,1.0103764902431174
224,1.0090795788583773
225,1.0067027670613604
226,1.003586766621103
227,0.9993287124935418
228,1.0020070586228422
229,1.0029716472473187
230,0.9950820358171482
231,0.9985961970851882
232,0.986743571484
233,0.9925868701478978
234,1.0004533092938421
235,1.0017905848654198
236,1.006495520580196
237,1.0102397886962282
238,0.9994346924681972
